courseID,courseTitle,courseLink
13236, Business Studies Teaching Methods 2,https://handbook.uts.edu.au/subjects/details/013236.html
13237, Business Studies Teaching Methods 3,https://handbook.uts.edu.au/subjects/details/013237.html
13238, Mathematics Teaching Methods 1,https://handbook.uts.edu.au/subjects/details/013238.html
13239, Mathematics Teaching Methods 2,https://handbook.uts.edu.au/subjects/details/013239.html
13240, Mathematics Teaching Methods 3,https://handbook.uts.edu.au/subjects/details/013240.html
13241, Professional Experience Teaching Practice 1,https://handbook.uts.edu.au/subjects/details/013241.html
13242, Professional Experience Teaching Practice 2,https://handbook.uts.edu.au/subjects/details/013242.html
13243, Science Teaching Methods 1,https://handbook.uts.edu.au/subjects/details/013243.html
13244, Chemistry Teaching Methods 2,https://handbook.uts.edu.au/subjects/details/013244.html
13245, Chemistry Teaching Methods 3,https://handbook.uts.edu.au/subjects/details/013245.html
13246, Technological and Applied Studies Teaching Methods: Technology (Mandatory),https://handbook.uts.edu.au/subjects/details/013246.html
13247, Technological and Applied Studies Teaching Methods: Engineering Studies,https://handbook.uts.edu.au/subjects/details/013247.html
13248, Technological and Applied Studies Teaching Methods: Software Design and Development,https://handbook.uts.edu.au/subjects/details/013248.html
13251, Professional Experience Teaching Practice 1,https://handbook.uts.edu.au/subjects/details/013251.html
13252, Professional Experience Teaching Practice 2,https://handbook.uts.edu.au/subjects/details/013252.html
13401, Professional Experience and Classroom Management 1,https://handbook.uts.edu.au/subjects/details/013401.html
13402, Professional Experience and Classroom Management 2,https://handbook.uts.edu.au/subjects/details/013402.html
13403, Learning Futures: Teaching for Complexity and Diversity,https://handbook.uts.edu.au/subjects/details/013403.html
13404, Inclusive Education,https://handbook.uts.edu.au/subjects/details/013404.html
13407, Resetting the Future: Indigenous Australian Education,https://handbook.uts.edu.au/subjects/details/013407.html
13408, Teaching and Learning with Digital Technologies,https://handbook.uts.edu.au/subjects/details/013408.html
13409, Professional Learning,https://handbook.uts.edu.au/subjects/details/013409.html
13410, Capstone: Professional Vision in Practice,https://handbook.uts.edu.au/subjects/details/013410.html
13411, English Teaching Methods 1,https://handbook.uts.edu.au/subjects/details/013411.html
13412, English Teaching Methods 2,https://handbook.uts.edu.au/subjects/details/013412.html
13413, English Teaching Methods 3,https://handbook.uts.edu.au/subjects/details/013413.html
13414, English Teaching Methods 4,https://handbook.uts.edu.au/subjects/details/013414.html
13415, Mathematics Teaching Methods 1,https://handbook.uts.edu.au/subjects/details/013415.html
13416, Mathematics Teaching Methods 2,https://handbook.uts.edu.au/subjects/details/013416.html
13417, Mathematics Teaching Methods 3,https://handbook.uts.edu.au/subjects/details/013417.html
13418, Mathematics Teaching Methods 4,https://handbook.uts.edu.au/subjects/details/013418.html
13419, Science Teaching Methods 1,https://handbook.uts.edu.au/subjects/details/013419.html
13420, Science Teaching Methods 2,https://handbook.uts.edu.au/subjects/details/013420.html
13421, Science Teaching Methods 3,https://handbook.uts.edu.au/subjects/details/013421.html
13422, Science Teaching Methods 4,https://handbook.uts.edu.au/subjects/details/013422.html
13427," Personal Development, Health and Physical Education Teaching Methods 1",https://handbook.uts.edu.au/subjects/details/013427.html
13428," Personal Development, Health and Physical Education Teaching Methods 2",https://handbook.uts.edu.au/subjects/details/013428.html
13429," Personal Development, Health and Physical Education Teaching Methods 3",https://handbook.uts.edu.au/subjects/details/013429.html
13430," Personal Development, Health and Physical Education Teaching Methods 4",https://handbook.uts.edu.au/subjects/details/013430.html
13435, Human Society and its Environment Teaching Methods 1,https://handbook.uts.edu.au/subjects/details/013435.html
13436, Human Society and its Environment Teaching Methods 4,https://handbook.uts.edu.au/subjects/details/013436.html
13438, Business Studies/Economics Teaching Methods 1,https://handbook.uts.edu.au/subjects/details/013438.html
13439, Business Studies/Economics Teaching Methods 2,https://handbook.uts.edu.au/subjects/details/013439.html
13443, Human Society and its Environment in Primary Education,https://handbook.uts.edu.au/subjects/details/013443.html
13444," Personal Development, Health and Physical Education for Primary School",https://handbook.uts.edu.au/subjects/details/013444.html
13445, English Education: The Early Years,https://handbook.uts.edu.au/subjects/details/013445.html
13446, Creative Arts Education for Primary Schools,https://handbook.uts.edu.au/subjects/details/013446.html
13447, Mathematics Education for Primary School 1,https://handbook.uts.edu.au/subjects/details/013447.html
13448, Science and Technology Education for Primary Schools,https://handbook.uts.edu.au/subjects/details/013448.html
13449, Mathematics Education for Primary School 2,https://handbook.uts.edu.au/subjects/details/013449.html
13450, Professional Experience: The Primary School Child,https://handbook.uts.edu.au/subjects/details/013450.html
13451, Professional Experience: Classroom Management,https://handbook.uts.edu.au/subjects/details/013451.html
13452, Professional Experience: Teaching EAL/D and Literacy in Primary Schools,https://handbook.uts.edu.au/subjects/details/013452.html
13453, Professional Experience: Teacher Performance Assessment,https://handbook.uts.edu.au/subjects/details/013453.html
13454, Professional Experience: The Primary School Child,https://handbook.uts.edu.au/subjects/details/013454.html
